Year,Avg_Temp,,Result of Global & Riyadh Temp,,
1848,7.98,,Year,Global Tempreture,Riyadh Tempreture
1849,7.98,,1852,8.03,24.71
1850,7.9,,1859,8.1,24.77
1851,8.18,,1866,7.99,24.61
1852,8.1,,1873,8.28,25.1
1853,8.04,,1880,8.29,25.04
1854,8.21,,1887,7.99,25.01
1855,8.11,,1894,8.1,25.17
1856,8,,1901,8.32,25.01
1857,7.76,,1908,8.19,24.87
1858,8.1,,1915,8.32,24.92
1859,8.25,,1922,8.3,25.01
1860,7.96,,1929,8.51,25.29
1861,7.85,,1936,8.42,25.16
1862,7.56,,1943,8.76,25.24
1863,8.11,,1950,8.71,25.29
1864,7.98,,1957,8.57,25.45
1865,8.18,,1964,8.75,25.34
1866,8.29,,1971,8.58,25.52
1867,8.44,,1978,8.64,25.38
1868,8.25,,1985,8.85,25.4
1869,8.43,,1992,9,25.36
1870,8.2,,1999,9.12,25.47
1871,8.12,,2006,9.43,26.08
1872,8.19,,2013,9.57,26.82
1873,8.35,,,,
1874,8.43,,,,
1875,7.86,,,,
1876,8.08,,,,
1877,8.54,,,,
1878,8.83,,,,
1879,8.17,,,,
1880,8.12,,,,
1881,8.27,,,,
1882,8.13,,,,
1883,7.98,,,,
1884,7.77,,,,
1885,7.92,,,,
1886,7.95,,,,
1887,7.91,,,,
1888,8.09,,,,
1889,8.32,,,,
1890,7.97,,,,
1891,8.02,,,,
1892,8.07,,,,
1893,8.06,,,,
1894,8.16,,,,
1895,8.15,,,,
1896,8.21,,,,
1897,8.29,,,,
1898,8.18,,,,
1899,8.4,,,,
1900,8.5,,,,
1901,8.54,,,,
1902,8.3,,,,
1903,8.22,,,,
1904,8.09,,,,
1905,8.23,,,,
1906,8.38,,,,
1907,7.95,,,,
1908,8.19,,,,
1909,8.18,,,,
1910,8.22,,,,
1911,8.18,,,,
1912,8.17,,,,
1913,8.3,,,,
1914,8.59,,,,
1915,8.59,,,,
1916,8.23,,,,
1917,8.02,,,,
1918,8.13,,,,
1919,8.38,,,,
1920,8.36,,,,
1921,8.57,,,,
1922,8.41,,,,
1923,8.42,,,,
1924,8.51,,,,
1925,8.53,,,,
1926,8.73,,,,
1927,8.52,,,,
1928,8.63,,,,
1929,8.24,,,,
1930,8.63,,,,
1931,8.72,,,,
1932,8.71,,,,
1933,8.34,,,,
1934,8.63,,,,
1935,8.52,,,,
1936,8.55,,,,
1937,8.7,,,,
1938,8.86,,,,
1939,8.76,,,,
1940,8.76,,,,
1941,8.77,,,,
1942,8.73,,,,
1943,8.76,,,,
1944,8.85,,,,
1945,8.58,,,,
1946,8.68,,,,
1947,8.8,,,,
1948,8.75,,,,
1949,8.59,,,,
1950,8.37,,,,
1951,8.63,,,,
1952,8.64,,,,
1953,8.87,,,,
1954,8.56,,,,
1955,8.63,,,,
1956,8.28,,,,
1957,8.73,,,,
1958,8.77,,,,
1959,8.73,,,,
1960,8.58,,,,
1961,8.8,,,,
1962,8.75,,,,
1963,8.86,,,,
1964,8.41,,,,
1965,8.53,,,,
1966,8.6,,,,
1967,8.7,,,,
1968,8.52,,,,
1969,8.6,,,,
1970,8.7,,,,
1971,8.6,,,,
1972,8.5,,,,
1973,8.95,,,,
1974,8.47,,,,
1975,8.74,,,,
1976,8.35,,,,
1977,8.85,,,,
1978,8.69,,,,
1979,8.73,,,,
1980,8.98,,,,
1981,9.17,,,,
1982,8.64,,,,
1983,9.03,,,,
1984,8.69,,,,
1985,8.66,,,,
1986,8.83,,,,
1987,8.99,,,,
1988,9.2,,,,
1989,8.92,,,,
1990,9.23,,,,
1991,9.18,,,,
1992,8.84,,,,
1993,8.87,,,,
1994,9.04,,,,
1995,9.35,,,,
1996,9.04,,,,
1997,9.2,,,,
1998,9.52,,,,
1999,9.29,,,,
2000,9.2,,,,
2001,9.41,,,,
2002,9.57,,,,
2003,9.53,,,,
2004,9.32,,,,
2005,9.7,,,,
2006,9.53,,,,
2007,9.73,,,,
2008,9.43,,,,
2009,9.51,,,,
2010,9.7,,,,
2011,9.52,,,,
2012,9.51,,,,
2013,9.61,,,,
